Proposal #,Total Sponsor Costs,Total Direct Costs,Total Indirect Costs,Total Project Cost
24-0322-P0001,257400,212355,45045,257400
24-0322-P0001,,,,
24-0322-P0001,,,,
24-0322-P0001,,,,
24-0322-P0001,,,,
24-0322-P0001,,,,
24-0322-P0001,,,,
24-0322-P0001,,,,
24-0322-P0001,,,,
24-0322-P0001,,,,
24-0322-P0001,,,,
24-0322-P0001,,,,
24-0322-P0001,,,,
24-0322-P0001,,,,
24-0142-P0003,967400,852000,115400,967400
24-0142-P0003,,,,
24-0142-P0003,,,,
24-0142-P0003,,,,
24-0142-P0003,,,,
24-0142-P0003,,,,
24-0142-P0003,,,,
24-0142-P0003,,,,
24-0142-P0003,,,,
24-0142-P0003,,,,
24-0142-P0003,,,,
24-0142-P0003,,,,
24-0142-P0003,,,,
24-0142-P0003,,,,
24-0142-P0003,,,,
24-0899-P0001,597815,426953,170628,597815
24-0899-P0001,,,,
24-0899-P0001,,,,
24-0899-P0001,,,,
24-0899-P0001,,,,
24-0899-P0001,,,,
24-0899-P0001,,,,
24-0899-P0001,,,,
24-0899-P0001,,,,
24-0799-P0003,1196910.55,1196910.54,358549.62,1463292.33
24-0799-P0003,,,,
24-0799-P0003,,,,
24-0799-P0003,,,,
24-0799-P0003,,,,
24-0799-P0003,,,,
24-0799-P0003,,,,
24-0799-P0003,,,,
24-0799-P0003,,,,
24-0799-P0003,,,,
24-0799-P0003,,,,
24-0799-P0003,,,,
24-0799-P0003,,,,
24-0799-P0003,,,,
24-0799-P0003,,,,
25-0336-P0001,,,,
25-0336-P0001,,,,
25-0336-P0001,,,,
24-0490-P0002,29881.23,22299.57,7581.66,29881.23
24-0490-P0002,,,,
24-0490-P0002,,,,
24-0490-P0002,,,,
24-0490-P0002,,,,
24-0490-P0002,,,,
24-0490-P0002,,,,
24-0490-P0002,,,,
24-0490-P0002,,,,
24-0490-P0002,,,,
24-0490-P0002,,,,
24-0490-P0002,,,,
24-0490-P0002,,,,
24-0490-P0002,,,,
24-0490-P0002,,,,
24-0300-P0001,,,,
24-0300-P0001,,,,
25-0216-P0001,397375,275000,122375,397375
25-0216-P0001,,,,
25-0216-P0001,,,,
25-0216-P0001,,,,
25-0216-P0001,,,,
25-0216-P0001,,,,
25-0216-P0001,,,,
25-0216-P0001,,,,
25-0216-P0001,,,,
25-0216-P0001,,,,
25-0216-P0001,,,,
23-1424-P0002,21105,21105,0,21105
23-1424-P0002,,,,
23-1424-P0002,,,,
23-1424-P0002,,,,
23-1424-P0002,,,,
23-1697-P0001,500000,383199,116810,500000
23-1697-P0001,,,,
23-1697-P0001,,,,
23-1697-P0001,,,,
23-1697-P0001,,,,
23-1697-P0001,,,,
23-1356-P0001,,,,
23-1356-P0001,,,,
24-0799-P0001,2228974.52,1868165.79,366257.62,
24-0799-P0001,,,,
24-0799-P0001,,,,
24-0799-P0001,,,,
24-0799-P0001,,,,
24-1021-P0001,5000000,3626351,1373649,5000000
24-1021-P0001,,,,
24-1021-P0001,,,,
24-1021-P0001,,,,
24-1021-P0001,,,,
24-1021-P0001,,,,
24-1021-P0001,,,,
24-1021-P0001,,,,
24-1021-P0001,,,,
24-1021-P0001,,,,
24-1021-P0001,,,,
24-1021-P0001,,,,
24-1021-P0001,,,,
24-1021-P0001,,,,
24-1021-P0001,,,,
24-1021-P0001,,,,
23-1782-P0001,999995,835071,164924,999995
23-1782-P0001,,,,
23-1782-P0001,,,,
23-1782-P0001,,,,
23-1782-P0001,,,,
23-0723-P0001,,,,
23-0723-P0001,,,,
24-0102-P0002,172638,143865,28773,172638
24-0102-P0002,,,,
24-0102-P0002,,,,
24-0102-P0002,,,,
24-0102-P0002,,,,
24-0102-P0002,,,,
24-0102-P0002,,,,
24-0102-P0002,,,,
24-0102-P0002,,,,
24-0102-P0002,,,,
